region_1,country,coordinates
Etna,Italy,"[37.751005, 14.9934349]"
Willamette Valley,US,"[44.942554, -122.9337615]"
Lake Michigan Shore,US,"[43.8348105, -85.0720293]"
Navarra,Spain,"[42.6953909, -1.6760691]"
Vittoria,Italy,"[35.4669667, -97.5428508]"
Alsace,France,"[48.3181795, 7.441624099999999]"
Napa Valley,US,"[38.5024689, -122.2653887]"
Alexander Valley,US,"[38.65649, -122.786907]"
Central Coast,US,"[-33.3208415, 151.2335592]"
Cafayate,Argentina,"[-26.0730798, -65.976052]"
Mendoza,Argentina,"[-32.8894587, -68.8458386]"
Ribera del Duero,Spain,"[41.6995677, -3.9271321]"
Virginia,US,"[37.4315734, -78.6568942]"
Oregon,US,"[43.8041334, -120.5542012]"
Sicilia,Italy,"[37.5999938, 14.0153557]"
Paso Robles,US,"[35.6368759, -120.6545022]"
Sonoma Coast,US,"[38.4052701, -123.096764]"
Terre Siciliane,Italy,"[38.144517, 13.3464781]"
Cerasuolo di Vittoria,Italy,"[36.9728095, 14.5516064]"
Clarksburg,US,"[39.2806451, -80.34453409999999]"
Beaujolais-Villages,France,"[38.3381283, -122.6705029]"
Dry Creek Valley,US,"[38.61054, -122.873166]"
Sonoma Valley,US,"[38.291859, -122.4580356]"
McMinnville,US,"[45.21011619999999, -123.1987163]"
Puglia,Italy,"[40.7928393, 17.1011931]"
Beaujolais,France,"[46.1134349, 4.7263863]"
Lake County,US,"[42.3689363, -87.8271534]"
Monticello,US,"[38.0086043, -78.4531994]"
Brouilly,France,"[45.844705, 4.40916]"
Monica di Sardegna,Italy,"[40.8262943, 8.40757]"
Bordeaux Blanc,France,"[29.7834756, -98.25444730000001]"
North Coast,US,"[33.2359409, -117.255003]"
Columbia Valley (WA),US,"[38.8491873, -104.7379121]"
Romagna,Italy,"[44.5967607, 11.2186396]"
Champagne,France,"[35.9346922, -96.0134444]"
Santa Ynez Valley,US,"[34.5841542, -120.0973685]"
Chablis,France,"[47.815269, 3.800450999999999]"
Mâcon-Milly Lamartine,France,"[46.3486649, 4.6979559]"
California,US,"[36.778261, -119.4179324]"
Aglianico del Vulture,Italy,
Howell Mountain,US,"[38.58139, -122.45]"
Calistoga,US,"[38.5787965, -122.5797054]"
South Australia,Australia,"[-30.0002315, 136.2091547]"
Eola-Amity Hills,US,"[45.1312282, -123.1637138]"
Rías Baixas,Spain,"[42.4270967, -8.814226399999999]"
Vin de France,France,"[38.6213413, -90.21295549999999]"
McLaren Vale,Australia,"[-35.2210309, 138.5461247]"
Ancient Lakes,US,"[47.1508517, -119.9631178]"
Knights Valley,US,
Vernaccia di San Gimignano,Italy,"[39.5888896, -106.1002465]"
Toscana,Italy,"[43.7710513, 11.2486208]"
Sonoma County,US,"[38.5779555, -122.9888319]"
Juliénas,France,"[46.235505, 4.709970999999999]"
Régnié,France,"[46.136803, 4.64105]"
Finger Lakes,US,"[42.7238165, -76.9297247]"
Morellino di Scansano,Italy,"[42.65701, 11.388251]"
Santa Clara Valley,US,"[37.2488478, -121.8399593]"
Yountville,US,"[38.40157809999999, -122.3608105]"
Barolo,Italy,"[47.6146633, -122.3374525]"
Rockpile,US,"[37.6616532, -94.30753349999999]"
Padthaway,Australia,"[-36.6270289, 140.433893]"
Saint-Émilion,France,"[44.89438699999999, -0.155729]"
Barbera d'Alba,Italy,"[44.7009153, 8.0356911]"
Santa Lucia Highlands,US,"[36.4307709, -121.4203754]"
Spring Mountain District,US,"[38.5228143, -122.5492726]"
Monterey,US,"[36.6002378, -121.8946761]"
Carmel Valley,US,"[36.4799024, -121.7327931]"
Dominio de Valdepusa,Spain,
Santa Cruz Mountains,US,"[37.1108921, -121.8448906]"
Chianti Classico,Italy,"[36.117132, -94.149616]"
Brunello di Montalcino,Italy,"[43.0886327, 11.4866396]"
Cahors,France,"[44.4475229, 1.441989]"
Edna Valley,US,"[35.2168996, -120.6077553]"
Moulin-à-Vent,France,
Madiran,France,"[43.549639, -0.057621]"
Russian River Valley,US,"[38.483083, -122.80327]"
Alto Adige,Italy,"[46.4336662, 11.1693296]"
Arroyo Seco,US,"[36.2316817, -121.485235]"
Salta,Argentina,"[-24.7821269, -65.4231976]"
Anderson Valley,US,"[39.0865657, -123.4794542]"
Campania,Italy,"[41.10994729999999, 14.8475139]"
Rosso del Veronese,Italy,"[45.4437804, 10.9800636]"
St.-Romain,France,"[46.99825800000001, 4.708748]"
Vino Nobile di Montepulciano,Italy,"[38.2566533, -122.4370999]"
Nevada County,US,"[39.1346666, -121.1710389]"
Côtes du Rhône,France,"[27.2192294, -82.4624194]"
Vacqueyras,France,"[44.13846299999999, 4.982689]"
Rueda,Spain,"[41.4108743, -4.9597661]"
Luján de Cuyo,Argentina,"[-33.0391038, -68.8798644]"
Cayuga Lake,US,"[42.6776693, -76.6990172]"
Montepulciano d'Abruzzo,Italy,
Santa Barbara County,US,"[34.4208321, -119.6982057]"
Diamond Mountain District,US,"[38.54334530000001, -122.578433]"
San Marino,Italy,"[43.94236, 12.457777]"
Mendocino,US,"[39.3076744, -123.7994591]"
Vin de Pays des Côtes de Gascogne,France,
Vino de la Tierra de Castilla y León,Spain,"[41.59491, -4.575127]"
San Juan,Argentina,"[18.4655394, -66.1057355]"
Adelaide Hills,Australia,"[-34.9062557, 138.8397403]"
Sonoma Mountain,US,"[38.3229698, -122.5749837]"
Amador County,US,"[38.3488921, -120.7740931]"
St. Helena,US,"[-15.9650104, -5.7089241]"
Cole Ranch,US,"[35.9733, -119.035202]"
Santa Maria Valley,US,"[34.9457909, -120.561774]"
Torgiano,Italy,"[43.0273158, 12.432391]"
Veneto,Italy,"[45.76233329999999, 11.690976]"
Colli Orientali del Friuli,Italy,"[45.9999263, 13.4380093]"
Uco Valley,Argentina,"[29.3593867, -100.9122058]"
Monferrato,Italy,"[44.8175587, 8.7046627]"
Dundee Hills,US,"[45.277904, -123.018535]"
Perdriel,Argentina,"[-33.0764292, -68.8868944]"
Arroyo Grande Valley,US,"[35.1072335, -120.5815117]"
Montsant,Spain,"[41.292953, 0.7978029999999999]"
Saint-Estèphe,France,"[45.2648099, -0.7717824]"
Sagrantino di Montefalco,Italy,"[42.902373, 12.64079]"
Arbois,France,"[46.902851, 5.772342]"
Barossa Valley,Australia,"[-34.5333333, 138.95]"
Tupungato,Argentina,"[-33.3583896, -69.7688752]"
Langhe,Italy,"[41.91765729999999, -87.6982788]"
Roero,Italy,
Barbera d'Asti Superiore Nizza,Italy,"[44.9007652, 8.206431499999999]"
Mendocino County,US,
Côte de Nuits-Villages,France,
Prosecco di Valdobbiadene,Italy,"[45.90032799999999, 12.0982601]"
Prosecco di Conegliano,Italy,"[45.86827419999999, 12.2811917]"
Languedoc,France,"[43.5912356, 3.2583626]"
Coteaux Varois en Provence,France,"[43.39375099999999, 6.040819]"
Cava,Spain,"[30.0048824, -90.1059552]"
Rutherglen,Australia,"[-36.055556, 146.4625]"
Barossa,Australia,"[-34.5333333, 138.95]"
Montrachet,France,"[38.7593126, -90.7252712]"
Heathcote,Australia,"[-36.916667, 144.7]"
Clos de Vougeot,France,"[47.1748181, 4.955178999999999]"
Chassagne-Montrachet,France,"[46.937992, 4.729560999999999]"
Criots-Bâtard-Montrachet,France,"[46.9447821, 4.7539203]"
Clare Valley,Australia,"[-33.8335699, 138.61]"
Bianco di Custoza,Italy,"[40.7485749, -73.9931976]"
Friuli,Italy,"[46.2259177, 13.1033646]"
Soave,Italy,"[45.4544384, 11.2358335]"
Collio,Italy,"[45.8109034, 10.3338726]"
Trentino,Italy,"[46.0512004, 11.1175392]"
Valdadige,Italy,"[46.1014012, 11.0973131]"
Rutherford,US,
Italy,Italy,"[41.87194, 12.56738]"
Prosecco del Veneto,Italy,"[45.88957, 12.076308]"
Prosecco di Conegliano e Valdobbiadene,Italy,"[45.915836, 12.166491]"
Graves,France,"[37.022501, -95.6182247]"
Walla Walla Valley (WA),US,"[46.0655953, -118.3387429]"
New York,US,"[40.7127753, -74.0059728]"
Rioja,Spain,"[39.7479473, -104.9994686]"
North Fork of Long Island,US,"[40.97132149999999, -72.6261244]"
Wahluke Slope,US,"[46.7643025, -119.6166988]"
Templeton Gap District,US,"[35.5496939, -120.7060049]"
Snipes Mountain,US,"[46.3285409, -120.0082522]"
Gavi,Italy,"[44.6880915, 8.8037472]"
Bierzo,Spain,"[42.59219239999999, -6.663812]"
Long Island,US,"[40.789142, -73.13496099999999]"
Muscadet Sèvre et Maine,France,"[47.1930753, -1.5414887]"
Franciacorta,Italy,"[40.569738, -74.61614399999999]"
Meursault,France,"[46.97822499999999, 4.768746]"
Niagara-On-The-Lake,Canada,"[43.2549988, -79.0772616]"
Carneros,US,"[38.2554723, -122.3349422]"
Ribbon Ridge,US,"[29.5683674, -98.7032581]"
Amarone della Valpolicella,Italy,
Chambolle-Musigny,France,"[47.185496, 4.952888]"
Pomerol,France,"[44.9298292, -0.2010233]"
Cannonau di Sardegna,Italy,"[40.1208752, 9.012892599999999]"
Red Mountain,US,"[49.1024147, -117.8194705]"
Isola dei Nuraghi,Italy,"[37.6675865, -77.57112099999999]"
Sta. Rita Hills,US,"[34.6422431, -120.438894]"
Côtes du Rhône Villages,France,"[45.5165578, 4.8512987]"
Friuli Grave,Italy,"[45.914153, 12.661697]"
El Dorado,US,"[39.0141696, -95.61218679999999]"
Suisun Valley,US,"[38.2672144, -122.1130027]"
Côtes de Provence,France,"[43.44632319999999, 6.4699991]"
Lodi,US,"[38.1341477, -121.2722194]"
Venezia Giulia,Italy,"[46.2259177, 13.1033646]"
Yakima Valley,US,"[46.587262, -120.526371]"
Monterey County,US,"[36.3136201, -121.3541631]"
Chiles Valley,US,"[38.5164826, -122.3122289]"
Mercurey,France,"[46.833678, 4.721636999999999]"
Calaveras County,US,"[38.1960477, -120.6805037]"
Chehalem Mountains,US,"[45.3762277, -123.037326]"
Horse Heaven Hills,US,"[46.1778416, -119.1521533]"
Umpqua Valley,US,"[43.2113549, -123.3464928]"
Alto Adige Valle Isarco,Italy,"[46.6480894, 11.5842165]"
Ballard Canyon,US,"[34.6354195, -120.1479918]"
Green Valley,US,"[36.2955631, -94.0854741]"
Coteaux d'Aix-en-Provence,France,"[43.5332825, 5.440235400000001]"
Côtes de Provence Sainte-Victoire,France,"[43.7047696, 7.310175399999999]"
Sierra Foothills,US,"[33.3241157, -111.9875757]"
Yolo County,US,"[38.7646021, -121.9017954]"
Dolcetto d'Alba,Italy,"[44.7009153, 8.0356911]"
Bordeaux Supérieur,France,"[44.86110739999999, -0.5571789]"
Costières de Nîmes,France,"[43.812435, 4.361956999999999]"
Bordeaux,France,"[44.837789, -0.57918]"
Washington,US,"[47.7510741, -120.7401385]"
Columbia Gorge (WA),US,"[47.4523058, -120.822886]"
Oak Knoll District,US,"[41.7963785, -123.3749138]"
Rogue Valley,US,"[42.4401246, -122.9261546]"
Northern Sonoma,US,"[38.5779555, -122.9888319]"
Soave Classico,Italy,"[40.7170897, -74.32439529999999]"
Conegliano Valdobbiadene Prosecco Superiore,Italy,"[45.915836, 12.166491]"
Piedmont,Italy,"[45.0522366, 7.5153885]"
Idaho,US,"[44.0682019, -114.7420408]"
Gambellara Classico,Italy,"[45.4602794, 11.3361935]"
Yarra Valley,Australia,"[-35.7403876, 147.6562318]"
Great Southern,Australia,"[37.3402317, -95.2642422]"
Mokelumne River,US,"[38.1145286, -121.5741027]"
Los Carneros,US,"[34.4430209, -119.8482509]"
Mount Veeder,US,"[38.3793566, -122.4477575]"
Dogliani Superiore,Italy,
Valencia,Spain,"[39.4699075, -0.3762881]"
Cortona,Italy,"[43.27506340000001, 11.98512]"
Piemonte,Italy,"[45.0522366, 7.5153885]"
Colli della Toscana Centrale,Italy,"[44.0839717, 10.3934847]"
Livermore Valley,US,"[37.6704091, -121.6978901]"
Valle de Uco,Argentina,"[42.0175716, -87.7912791]"
Mâcon-Villages,France,"[46.3068839, 4.828730999999999]"
Texas,US,"[31.9685988, -99.9018131]"
Côte Chalonnaise,France,"[46.7844158, 4.8624466]"
Chorey-lès-Beaune,France,"[47.048887, 4.86904]"
Calchaquí Valley,Argentina,"[-26.0746237, -65.9783082]"
Coteaux Bourguignons,France,"[48.1218388, 4.3854847]"
Saint-Véran,France,"[44.700836, 6.868570999999999]"
Barbaresco,Italy,"[44.7232618, 8.0835572]"
South Eastern Australia,Australia,"[-27.6728168, 148.3716902]"
Temecula Valley,US,"[33.5024557, -117.1168468]"
Tasmania,Australia,"[-41.4545196, 145.9706647]"
Cariñena,Spain,"[41.3370805, -1.2241497]"
Vin Santo del Chianti Classico,Italy,
Trento,Italy,"[46.0747793, 11.1217486]"
Médoc,France,"[44.556862, -0.038418]"
Haut-Médoc,France,"[44.556862, -0.038418]"
Fronsac,France,"[44.924318, -0.2712629]"
Margaux,France,"[35.897833, -78.68210499999999]"
Mornington Peninsula,Australia,"[-38.2854053, 145.093449]"
Verdicchio dei Castelli di Jesi Classico,Italy,"[43.4545723, 13.1725079]"
Vino de la Tierra de Castilla,Spain,"[40.7299182, -73.993174]"
Mendocino Ridge,US,"[39.33667, -123.3]"
Rosso di Montalcino,Italy,"[42.2874059, -87.8526426]"
Côtes de Gascogne,France,"[43.8588747, 0.088527]"
Côtes du Lot,France,"[44.5379358, 1.6760691]"
Nebbiolo d'Alba,Italy,"[44.7009153, 8.0356911]"
Beaujolais Rosé,France,"[46.2358688, 4.7097814]"
Marsannay,France,"[47.270302, 4.988667]"
Gevrey-Chambertin,France,"[47.225962, 4.968738999999999]"
Beaune,France,"[47.02603000000001, 4.840004]"
Sannio,Italy,"[43.7337672, -79.458918]"
Priorat,Spain,"[41.23797829999999, 0.7913226999999999]"
Bolgheri Superiore,Italy,"[43.2336764, 10.6170139]"
Minervois,France,
Texas High Plains,US,"[29.664215, -98.14439890000001]"
Vista Flores,Argentina,"[-33.6509809, -69.1558647]"
Australia,Australia,
Shenandoah Valley (CA),US,"[38.5348836, -120.792458]"
Blaye Côtes de Bordeaux,France,"[45.127331, -0.662843]"
Jumilla,Spain,"[38.4763532, -1.3221865]"
Coste della Sesia,Italy,
Yorkville Highlands,US,"[38.875393, -123.108287]"
Penedès,Spain,"[41.3461265, 1.6979398]"
Greco di Tufo,Italy,"[41.5165585, 13.2624211]"
Lugana,Italy,"[35.32597980000001, -82.4744296]"
Primitivo di Manduria,Italy,"[38.894637, -77.001361]"
Bardolino Classico,Italy,
Amarone della Valpolicella Classico,Italy,
Piave,Italy,"[46.068752, 12.3314323]"
Gaillac,France,"[43.9018159, 1.896506]"
Sancerre,France,"[47.329583, 2.839867]"
Montravel,France,
Quincy,France,"[42.2528772, -71.0022705]"
Pouilly-Fumé,France,
Coonawarra,Australia,"[-37.28746, 140.8553875]"
Happy Canyon of Santa Barbara,US,"[34.4206415, -119.6994278]"
Valdeorras,Spain,"[42.3788608, -6.9638624]"
Bizkaiko Txakolina,Spain,"[42.873683, -2.652435]"
Walla Walla Valley (OR),US,"[46.047101, -118.400369]"
Isonzo del Friuli,Italy,"[46.0801447, 13.433127]"
Vin de Pays d'Oc,France,
Delle Venezie,Italy,"[45.4408474, 12.3155151]"
Monbazillac,France,"[44.793529, 0.492161]"
Patrimonio,France,"[42.706531, 9.369553999999999]"
Saumur-Champigny,France,"[47.2546551, -0.0833506]"
Rosso di Montepulciano,Italy,"[40.77632759999999, -73.97921579999999]"
Gers,France,"[43.6366479, 0.4502368]"
Crémant de Jura,France,
Vin de Liqueur,France,"[29.7371381, -95.4269394]"
Seneca Lake,US,"[42.6918497, -76.92019200000001]"
Naches Heights,US,"[46.6536279, -120.6541983]"
Basilicata,Italy,"[40.6430766, 15.9699878]"
Hudson River Region,US,"[42.737395, -73.68724]"
Napa-Sonoma,US,"[38.291859, -122.4580356]"
Crémant de Bourgogne,France,
Pouilly-Fuissé,France,"[46.2807, 4.741652]"
Goulburn Valley,Australia,"[-36.8212556, 145.5833979]"
Bennett Valley,US,"[38.420496, -122.662446]"
Paso Robles Willow Creek District,US,"[35.5780474, -120.7801593]"
Montagne-Saint-Émilion,France,"[44.89438699999999, -0.155729]"
La Mancha,Spain,"[30.32249, -97.74085099999999]"
Contra Costa County,US,"[37.8534093, -121.9017954]"
Michigan,US,"[44.3148443, -85.60236429999999]"
Uclés,Spain,"[39.9799887, -2.8633215]"
Stags Leap District,US,"[38.4141825, -122.3213126]"
Valle d'Aosta,Italy,"[45.7388878, 7.426186599999999]"
Fair Play,US,"[41.7340168, -87.7435051]"
Menetou-Salon,France,"[47.2320769, 2.488352]"
Jerez,Spain,"[36.6850064, -6.126074399999999]"
Fronton,France,"[43.840098, 1.389654]"
Bergerac,France,"[44.853806, 0.483392]"
Salento,Italy,"[40.42336419999999, 17.9531836]"
Bordeaux Rosé,France,"[44.855275, -0.570292]"
Pennsylvania,US,"[41.2033216, -77.1945247]"
Les Baux de Provence,France,"[43.743887, 4.795495000000001]"
Southern Oregon,US,"[42.7976791, -122.4332992]"
Old Mission Peninsula,US,"[44.8839492, -85.50972259999999]"
Alto Adige Terlano,Italy,"[46.5384622, 11.2421084]"
Dunnigan Hills,US,"[38.794346, -121.9552466]"
Bandol,France,"[43.136418, 5.754186]"
Coombsville,US,"[38.2971707, -122.2864459]"
Châteauneuf-du-Pape,France,"[44.056556, 4.831281000000001]"
Nuits-St.-Georges,France,"[47.137985, 4.9503199]"
Vigneti delle Dolomiti,Italy,
Montefalco Rosso,Italy,"[42.902373, 12.64079]"
Umbria,Italy,"[42.938004, 12.6216211]"
Faro,Italy,"[40.707428, -73.922845]"
Chénas,France,"[46.212457, 4.719626]"
Jurançon,France,"[43.287723, -0.390892]"
Saumur,France,"[47.260135, -0.08089299999999999]"
Alella,Spain,
Bardolino Chiaretto,Italy,
Murgia,Italy,"[40.976111, 16.406111]"
Bolgheri Sassicaia,Italy,"[43.2336764, 10.6170139]"
Pessac-Léognan,France,"[44.727859, -0.59709]"
Saint-Julien,France,"[45.165884, -0.74085]"
Pauillac,France,"[45.199585, -0.746212]"
Oakville,US,"[43.467517, -79.6876659]"
Lalande de Pomerol,France,"[44.955821, -0.210858]"
Delia Nivolelli,Italy,
Cadillac Côtes de Bordeaux,France,
Maipú,Argentina,"[-33.5209155, -70.7631335]"
Touraine,France,"[47.3020954, 0.6921741]"
Middleburg,US,"[38.9687211, -77.7355496]"
Reuilly,France,"[47.085426, 2.041587]"
Gattinara,Italy,"[45.6139525, 8.3715171]"
Margaret River,Australia,"[-33.955, 115.075]"
Patagonia,Argentina,"[39.6036242, -106.5170552]"
Entre-Deux-Mers,France,"[49.4729933, -123.7540771]"
Applegate Valley,US,"[37.35579, -79.9044815]"
Hermitage,France,"[36.2150124, -86.61294939999999]"
Maremma,Italy,"[42.7095635, 11.0177282]"
San Benito County,US,"[36.5760883, -120.9876321]"
Catalunya,Spain,"[41.5911589, 1.5208624]"
Ribeiro,Spain,"[32.7543996, -117.2092115]"
Sauternes,France,"[44.531032, -0.343268]"
San Luis Obispo County,US,"[35.3102296, -120.4357631]"
Bolgheri,Italy,"[43.2336764, 10.6170139]"
Alicante,Spain,"[38.3459963, -0.4906855]"
Vin de Savoie,France,"[46.2116136, -74.5864057]"
Almansa,Spain,"[38.8702789, -1.0993366]"
Castillon Côtes de Bordeaux,France,"[44.8533003, -0.0436106]"
Mediterranée,France,"[34.5531284, 18.0480105]"
Francs Côtes de Bordeaux,France,"[45.537101, -73.6979655]"
Chiroubles,France,"[46.180983, 4.665474]"
Saint-Amour,France,"[46.4363219, 5.345254]"
Ribeira Sacra,Spain,"[40.715666, -74.009906]"
Leelanau Peninsula,US,"[44.79383199999999, -85.638108]"
Getariako Txakolina,Spain,"[43.3026416, -2.2042824]"
Calatayud,Spain,"[41.3531678, -1.6468455]"
Outer Coastal Plain,US,
Coteaux du Languedoc,France,
Sonoma-Napa,US,"[38.291859, -122.4580356]"
Langhorne Creek,Australia,"[-35.29625559999999, 139.038277]"
Falerno del Massico,Italy,"[41.1648018, 13.9468082]"
Fiano di Avellino,Italy,"[40.914388, 14.7906121]"
Vi de la Terra Illes Balears,Spain,"[39.5778512, 2.6518347]"
Santa Barbara,US,"[34.4208305, -119.6981901]"
Côtes de Bourg,France,"[45.419253, 2.383115]"
Barbera d'Asti Superiore,Italy,"[44.90075119999999, 8.2064257]"
Saint-Georges-Saint-Émilion,France,"[44.8854098, -0.1533505]"
Vermentino di Sardegna,Italy,
Bergerac Sec,France,"[48.9256884, 2.478422]"
Morgon,France,"[43.078801, -92.6497761]"
Virginia's Eastern Shore,US,"[37.136425, -75.96459999999999]"
Colli Trevigiani,Italy,"[46.0135268, 11.9171375]"
Columbia Valley (OR),US,"[45.7247667, -121.5718789]"
Listrac-Médoc,France,"[45.073918, -0.793207]"
Lussac Saint-Émilion,France,"[44.949033, -0.096263]"
Barbera d'Asti,Italy,
Tavel,France,"[44.01293, 4.698161]"
Barbera d'Alba Superiore,Italy,"[44.7009153, 8.0356911]"
Recioto di Soave,Italy,
Santenay,France,"[46.912833, 4.696534]"
Puligny-Montrachet,France,"[46.945092, 4.753296]"
Ruché di Castagnole Monferrato,Italy,"[44.9624895, 8.304856400000002]"
Valtellina Superiore,Italy,
Oltrepò Pavese,Italy,"[44.9824787, 9.0917228]"
Red Hills Lake County,US,"[31.4724086, -93.8308644]"
Toro,Spain,"[38.4052315, -96.17212669999999]"
Moulis-en-Médoc,France,"[45.06023700000001, -0.7675419]"
Pemberton,Australia,"[39.9600831, -74.58410889999999]"
Rosé de Loire,France,
Côtes de Bordeaux,France,"[45.5168684, -73.6797867]"
Vin Mousseux,France,
South Coast,US,
Yecla,Spain,
Lake Erie,US,"[42.0668852, -81.3399414]"
Potter Valley,US,"[39.3221089, -123.113059]"
Sonoma County-Napa County,US,"[38.291859, -122.4580356]"
Givry,France,"[46.78307, 4.742662999999999]"
Buzet,France,"[45.4075606, 13.9651276]"
Valpolicella Classico Superiore Ripasso,Italy,
Corse,France,"[42.0396042, 9.012892599999999]"
Muscadet Côtes de Grandlieu,France,"[40.76295160000001, -73.9692965]"
Terra degli Osci,Italy,
Lambrusco di Modena,Italy,"[44.6510984, 10.8586364]"
Montefalco Sagrantino,Italy,"[40.7446126, -73.98282449999999]"
Lazio,Italy,"[41.6552418, 12.989615]"
