region_1,country,coordinates
Chalk Hill,US,"[38.6037982, -122.7772125]"
Marche,Italy,"[36.178038, -86.751312]"
Cerasuolo di Vittoria Classico,Italy,
Frankland River,Australia,"[-34.351814, 117.0654331]"
Geographe,Australia,"[-33.6373407, 115.3815343]"
Western Australia,Australia,"[-27.6728168, 121.6283098]"
Niagara Peninsula,Canada,"[43.067547, -79.130163]"
Molise,Italy,"[41.67388649999999, 14.7520939]"
New Jersey,US,"[40.0583238, -74.4056612]"
Maury Sec,France,"[49.9484326, 15.8072468]"
Côtes du Roussillon Villages Caramany,France,"[42.738113, 2.568758]"
Irrouléguy,France,
Redwood Valley,US,"[39.2652491, -123.2041429]"
Friuli Aquileia,Italy,"[45.76816909999999, 13.3687199]"
Ile de Beauté,France,"[45.490952, -73.650679]"
Cucamonga Valley,US,"[34.1120955, -117.5776336]"
Pays d'Oc,France,"[16.2379493, -61.57122760000001]"
Gard,France,"[43.9446996, 4.1513764]"
Chianti,Italy,"[32.4462603, -93.7455487]"
Chianti Montespertoli,Italy,"[43.662996, 11.12623]"
Chianti Colli Senesi,Italy,"[43.6581, -79.34965299999999]"
Bordeaux Clairet,France,
Fleurie,France,"[46.192646, 4.6974557]"
Anjou Villages Brissac,France,"[47.356497, -0.448862]"
Fiddletown,US,"[38.5039105, -120.7565689]"
Bonnezeaux,France,"[47.276972, -0.485391]"
Bourgogne Hautes Côtes de Nuits,France,"[47.1492182, 4.890554799999999]"
Crémant d'Alsace,France,"[48.6221769, 7.4839214]"
Mâcon-Péronne,France,"[46.438691, 4.809830000000001]"
Maranges,France,"[25.6931979, -80.3826158]"
Augusta,US,"[33.4734978, -82.0105148]"
Saint-Bris,France,"[47.744005, 3.647396]"
New Mexico,US,"[34.5199402, -105.8700901]"
Nevada,US,"[38.8026097, -116.419389]"
Adelaide Plains,Australia,"[-34.6057239, 138.7136193]"
Lessona,Italy,"[45.58773290000001, 8.1925447]"
Vino Spumante,Italy,"[45.807568, 12.497794]"
Boca,Italy,"[36.1159808, -95.8538114]"
Rivesaltes,France,"[42.768583, 2.871763000000001]"
Charmes-Chambertin,France,
Valpolicella Superiore,Italy,"[45.4315888, 9.1360572]"
Valpolicella Classico Superiore,Italy,
Alto Valle del Río Negro,Argentina,"[-39.03190970000001, -67.5726237]"
Prosecco,Italy,
Paicines,US,"[36.7289127, -121.2788708]"
Condrieu,France,"[45.4617223, 4.7680113]"
Colline Pescaresi,Italy,
Sangiovese di Romagna Superiore,Italy,
Empordà,Spain,"[42.2755267, 3.0175712]"
Placer County,US,
Chianti Rufina,Italy,"[45.37476299999999, -84.9539829]"
Salice Salentino,Italy,"[40.385073, 17.9652521]"
Mâcon-Chardonnay,France,"[46.302479, 4.816992]"
Ladoix,France,"[47.06605, 4.886973999999999]"
Viré-Clessé,France,"[46.448616, 4.842058]"
Campo de Borja,Spain,"[41.8311685, -1.443469]"
Mâcon-Fuissé,France,"[46.280354, 4.742589]"
Eden Valley,Australia,"[45.324998, -94.54451449999999]"
Spain,Spain,"[40.46366700000001, -3.74922]"
La Consulta,Argentina,"[-33.7339291, -69.1199066]"
Napa County-Sonoma County,US,"[38.2492967, -122.275377]"
Solano County,US,"[38.3104969, -121.9017954]"
Colline Novaresi,Italy,
Adelaide,Australia,
Agrelo,Argentina,"[-33.1194013, -68.8868944]"
Veneto Orientale,Italy,
Vin de Pays des Cévennes,France,"[44.4317226, 3.7027594]"
Luberon,France,"[43.796111, 5.223889]"
Adelaida District,US,"[35.645236, -120.802497]"
Calabria,Italy,"[39.3087714, 16.3463791]"
Taurasi,Italy,"[41.0125228, 14.9680914]"
Eloro,Italy,"[-3.2592413, -79.9583541]"
Faugères,France,"[43.5655659, 3.188741]"
Crémant de Limoux,France,"[43.045432, 2.170958]"
Valdobbiadene Prosecco Superiore,Italy,"[45.915836, 12.166491]"
Irpinia,Italy,"[40.996451, 15.1258955]"
Picpoul de Pinet,France,"[43.40679859999999, 3.5088456]"
Côtes du Marmandais,France,"[44.5267833, 0.1533469]"
Coteaux du Layon,France,"[47.165874, -0.319443]"
Cornas,France,"[44.963733, 4.847392]"
Chalone,US,"[36.4701483, -121.2298501]"
Savennières,France,"[47.383101, -0.656999]"
Ventoux,France,"[44.1740851, 5.2786797]"
Taburno,Italy,"[41.16374560000001, 14.6176757]"
Chinon,France,"[47.167296, 0.240385]"
Sebino,Italy,"[45.721871, 10.0670398]"
Vouvray,France,"[47.412068, 0.799248]"
Columbia Gorge (OR),US,"[45.7247667, -121.5718789]"
Trebbiano d'Abruzzo,Italy,"[42.1920119, 13.7289167]"
Crémant de Loire,France,"[48.014277, 3.088529]"
Terra Alta,Spain,"[39.445649, -79.54643879999999]"
Victoria,Australia,"[48.4284207, -123.3656444]"
Valdepeñas,Spain,"[38.8113074, -3.4599326]"
Friuli Colli Orientali,Italy,"[45.9999263, 13.4380093]"
Vin Santo del Chianti,Italy,
Vosne-Romanée,France,"[47.159051, 4.954572]"
Valdobbiadene Superiore di Cartizze,Italy,"[45.8806846, 12.0047753]"
Recioto della Valpolicella Classico,Italy,
Gavi di Gavi,Italy,"[44.6880915, 8.8037472]"
Roero Arneis,Italy,"[44.7881153, 7.939328799999999]"
Dolcetto di Dogliani,Italy,"[44.5319723, 7.949748199999999]"
Neuquén,Argentina,"[-38.9516784, -68.0591888]"
Moscato d'Asti,Italy,
Saint-Nicolas-de-Bourgueil,France,"[47.284852, 0.12535]"
Lake Chelan,US,"[48.0269741, -120.3377317]"
Roussette de Savoie,France,"[45.5055649, 6.0035737]"
Maremma Toscana,Italy,"[43.13439140000001, 11.0111351]"
Rattlesnake Hills,US,"[46.6020711, -120.5058987]"
Alta Langa,Italy,"[44.5892877, 8.1440365]"
El Dorado County,US,"[38.74263759999999, -120.4357631]"
Napa County,US,"[38.5024689, -122.2653887]"
Côtes de Nuits Villages,France,"[47.13176259999999, 4.9721271]"
Bourgogne Hautes Côtes de Beaune,France,"[47.01346580000001, 4.815776100000001]"
Saint-Aubin,France,"[46.950588, 4.707633]"
Marin County,US,"[38.083403, -122.7633036]"
Barsac,France,"[44.607906, -0.317094]"
Conero,Italy,"[43.55, 13.6]"
Menfi,Italy,
Montilla-Moriles,Spain,"[37.5793753, -4.6545727]"
Río Negro Valley,Argentina,"[31.5868793, -106.245699]"
Pernand-Vergelesses,France,"[47.084575, 4.851313]"
Málaga,Spain,"[36.7212737, -4.4213988]"
Auxey-Duresses,France,"[46.986357, 4.747390999999999]"
Savigny-lès-Beaune,France,"[47.063402, 4.817946]"
Mâcon-Verze,France,"[46.376678, 4.734818]"
Saint-Joseph,France,"[38.93610020000001, -94.6043042]"
Vin de Pays Var,France,
Frascati Superiore,Italy,"[37.7983646, -122.4190244]"
Volnay,France,"[47.00151, 4.781618]"
Fort Ross-Seaview,US,"[38.51392510000001, -123.2455683]"
Mt. Harlan,US,"[36.6974604, -121.405214]"
Quarts de Chaume,France,
Lambrusco dell'Emilia,Italy,"[44.6599242, 10.9296571]"
Colli Aprutini,Italy,
Montepulciano d'Abruzzo Colline Teramane,Italy,
Valpolicella Superiore Ripasso,Italy,
Valpolicella Ripasso,Italy,
Cheverny,France,
Forlì,Italy,"[44.2227398, 12.0407312]"
Colli Martani,Italy,
Cienega Valley,US,"[36.7099602, -121.3349326]"
Temecula,US,"[33.4936391, -117.1483648]"
Ghemme,Italy,"[45.5958705, 8.4228612]"
Carignano del Sulcis,Italy,"[39.18444, 8.511339999999999]"
Alghero,Italy,"[40.5579517, 8.319294900000001]"
Anjou,France,"[39.3695737, -94.7783589]"
Pécharmant,France,
Minervois La Liviniere,France,"[43.32940199999999, 2.619386]"
Corbières,France,"[43.054859, 1.997267]"
Marsala,Italy,"[37.79804499999999, 12.4370156]"
Grand Valley,US,"[42.9744684, -85.86976120000001]"
Colorado,US,"[39.5500507, -105.7820674]"
Okanagan Valley,Canada,
Clarendon,Australia,"[34.9378289, -100.8881993]"
Côtes du Jura,France,"[46.76247499999999, 5.6729159]"
Corton Les Renardes,France,
Coteaux du Giennois,France,
Aloxe-Corton,France,"[47.065692, 4.85994]"
Rosso Conero,Italy,"[37.8424059, -122.287774]"
Falerio,Italy,"[52.2850618, 4.5799954]"
Verdicchio dei Castelli di Jesi,Italy,"[43.5270861, 13.2463797]"
Rosso Piceno,Italy,"[42.8594079, 13.5692889]"
Hunter Valley,Australia,"[-32.1932173, 151.700565]"
La Rioja,Argentina,"[42.2870733, -2.539603]"
Central Ranges,Australia,"[10.4166667, -61.25000000000001]"
Coteaux Varois,France,"[43.39375099999999, 6.040819]"
Val di Cornia Suvereto,Italy,"[43.0760687, 10.7042748]"
Orvieto Classico Superiore,Italy,"[42.7185068, 12.1107446]"
Vin de Pays du Val de Loire,France,"[47.4829946, -0.5418098]"
Cochise County,US,"[31.82845799999999, -109.949686]"
Vino de la Tierra Altiplano de Sierra Nevada,Spain,
Pine Mountain-Cloverdale Peak,US,"[38.854586, -122.96574]"
Costers del Segre,Spain,"[41.599156, 0.5812269999999999]"
Verdicchio dei Castelli di Jesi Classico Superiore,Italy,"[43.4545723, 13.1725079]"
Custoza Superiore,Italy,"[45.388789, 10.825568]"
Veronese,Italy,"[33.8705948, -117.9322872]"
Val di Neto,Italy,"[39.138697, 17.09132]"
Big Valley District-Lake County,US,"[38.9970418, -122.8700498]"
San Antonio Valley,US,"[37.3544669, -121.5587164]"
Bourgogne,France,"[47.0525047, 4.3837215]"
Petit Chablis,France,"[38.4397647, -105.2394564]"
Sierra Pelona Valley,US,"[34.4769379, -118.3286905]"
Valpolicella,Italy,
San Luis Obispo,US,"[35.2827524, -120.6596156]"
Famatina Valley,Argentina,"[-34.6462843, -58.4101518]"
Bâtard-Montrachet,France,"[46.9447821, 4.7539203]"
Chevalier-Montrachet,France,"[46.9447821, 4.7539203]"
Atlas Peak,US,"[37.7931585, -122.4025313]"
Puisseguin Saint-Émilion,France,"[44.925099, -0.074307]"
Asprinio di Aversa,Italy,
Orvieto Classico,Italy,"[42.719065, 12.11586]"
Bardolino,Italy,"[45.5453076, 10.6914197]"
Orcia,Italy,"[43.0625024, 11.5586763]"
Limestone Coast,Australia,"[-36.7235617, 140.3481835]"
Mâcon-Azé,France,"[46.431348, 4.7612249]"
Pyrenees,Australia,"[42.6681804, 1.0011899]"
Prosecco Superiore di Cartizze,Italy,
High Valley,US,"[-17.5451142, 145.5144245]"
Lambrusco Grasparossa di Castelvetro,Italy,"[44.5041498, 10.9457811]"
San Bernabe,US,"[36.1475072, -121.1006615]"
Vermentino di Gallura,Italy,"[40.9871753, 9.2785583]"
Ben Lomond Mountain,US,"[41.363274, -111.960498]"
Argentina,Argentina,"[-38.416097, -63.61667199999999]"
Morey-Saint-Denis,France,"[47.195673, 4.962496]"
Missouri,US,"[37.9642529, -91.8318334]"
Southeastern New England,US,"[41.639755, -70.925861]"
Grand River Valley,US,"[41.6974296, -81.03739499999999]"
Sonoita,US,
Corton-Charlemagne,France,"[47.0676505, 4.85854]"
Emilia,Italy,"[39.0561763, -94.610056]"
King Valley,Australia,"[38.0054139, -122.2896474]"
Pommard,France,"[47.00931, 4.795325]"
Costa Toscana,Italy,"[43.2269009, 10.5622919]"
Albana di Romagna,Italy,"[44.0562695, 12.4026755]"
Grands-Echezeaux,France,
Moscadello di Montalcino,Italy,"[43.0551015, 11.4890032]"
Mazis-Chambertin,France,
"The Hamptons, Long Island",US,"[40.924616, -72.35479149999999]"
Vin de Pays du Comté Tolosan,France,
Somontano,Spain,"[42.1177335, 0.03732009999999999]"
Tierra del Viños de Zamora,Spain,"[41.35375, -5.768549999999999]"
Niagara Escarpment,Canada,"[44.7180522, -87.5950953]"
Central Victoria,Australia,"[-37.4713077, 144.7851531]"
Bordeaux Côtes de Francs ,France,"[45.537101, -73.6979655]"
Shenandoah Valley,US,"[38.4834568, -78.84974849999999]"
Savoie,France,"[45.4932045, 6.472399999999999]"
Palette,France,"[36.1407997, -95.96879849999999]"
Var,France,"[43.02429, -87.91302999999999]"
Val de Loire,France,"[47.5532402, 1.0105289]"
Coteaux du Languedoc Pic Saint Loup,France,"[43.780392, 3.813078]"
Primitivo del Salento,Italy,"[40.069967, 18.104298]"
Tarragona,Spain,"[41.1188827, 1.2444909]"
Valpolicella Classico,Italy,
Hautes Côtes de Nuits,France,"[47.1492182, 4.890554799999999]"
La Clape,France,"[43.158333, 3.1]"
Vin Santo di Montepulciano,Italy,"[43.071668, 11.805525]"
Santa Barbara-Monterey,US,"[34.4375441, -119.7442934]"
Gigondas,France,"[44.163231, 5.0041804]"
Conca de Barberà,Spain,"[41.4745038, 1.2506002]"
Beamsville Bench,Canada,"[43.1588749, -79.4921643]"
Lessini Durello,Italy,
Bourgueil,France,"[47.282487, 0.168611]"
Saint-Croix-du-Mont,France,"[44.5942859, -0.284518]"
Lake Erie North Shore,Canada,"[42.72405089999999, -78.950998]"
Prosecco Treviso,Italy,"[45.6651108, 12.247662]"
Côte de Brouilly,France,"[46.0893693, 4.6470532]"
Mâcon-Pierreclos,France,"[46.334809, 4.686364999999999]"
Salina,Italy,"[38.8402805, -97.61142369999999]"
Sainte-Foy Bordeaux,France,"[44.8480803, -0.5727173]"
Saint-Chinian,France,"[43.418646, 2.945129]"
Crozes-Hermitage,France,"[45.09032, 4.846723]"
Southern Flinders Ranges,Australia,"[-31.4166667, 138.75]"
Napa-Carneros,US,"[38.2554723, -122.3349422]"
Catalonia,Spain,"[41.5911589, 1.5208624]"
Pouilly-Vinzelles,France,"[46.2705001, 4.7649238]"
Lago di Corbara,Italy,"[42.7168337, 12.2519308]"
Macon-Bussières,France,"[46.338504, 4.701625]"
Colli Euganei,Italy,"[45.3166667, 11.6666667]"
Offida Pecorino,Italy,"[42.9294924, 13.7001208]"
Passito di Pantelleria,Italy,"[42.479442, -76.481917]"
Illinois,US,"[40.6331249, -89.3985283]"
Sant'Antimo,Italy,"[42.9996008, 11.5156193]"
Vin Santo del Chianti Rufina,Italy,"[43.8266869, 11.5134398]"
Corse Porto Vecchio,France,"[41.591369, 9.278311]"
Côtes du Roussillon Villages Tautavel,France,"[42.8149442, 2.7470097]"
Côtes du Roussillon Villages,France,
Aglianico del Taburno,Italy,"[41.1308729, 14.6472491]"
Castel del Monte,Italy,"[41.0847777, 16.2706484]"
Colli di Faenza,Italy,"[44.2983651, 11.9038642]"
Sangiovese di Romagna,Italy,"[44.0567906, 12.4028]"
Mâcon,France,"[46.3068839, 4.828730999999999]"
Fixin,France,"[47.24534, 4.972309]"
Sforzato di Valtellina,Italy,
Corton,France,"[52.515023, 1.74319]"
Latricières-Chambertin,France,
Premieres Côtes de Blaye,France,"[45.126841, -0.662941]"
Montagny,France,"[45.620885, 4.747657999999999]"
Vin de Pays des Côtes Catalanes,France,
Malibu-Newton Canyon,US,"[34.0809642, -118.8021153]"
Vino de la Tierra Contraviesa Alpujarra,Spain,
Mount Harlan,US,"[36.6974604, -121.405214]"
Côtes du Tarn,France,"[43.89926699999999, 1.895374]"
Terrazze Retiche di Sondrio,Italy,"[46.1762609, 9.8926869]"
Pla de Bages,Spain,
Côtes de Provence La Londe,France,"[43.1376536, 6.2375712]"
Coteaux du Layon Chaume,France,"[47.322534, -0.635508]"
Sonoma-Napa-Mendocino,US,"[38.291859, -122.4580356]"
Dolcetto d'Acqui,Italy,"[44.67638460000001, 8.4670285]"
San Francisco Bay,US,"[37.6909682, -122.3107517]"
Nagambie Lakes,Australia,"[-36.7842847, 145.1417222]"
Côtes de Bergerac,France,"[44.790031, -0.118248]"
Pacherenc du Vic Bilh,France,
Chelan County,US,"[47.9445331, -120.6749068]"
Riverina,Australia,"[33.8109066, -118.0729372]"
California Other,US,"[36.8319701, -119.791147]"
Saddle Rock-Malibu,US,"[34.0990408, -118.8207158]"
Echézeaux,France,"[47.16536199999999, 4.979823]"
La Grande Rue,France,"[37.9214208, -89.9128862]"
Clos de la Roche,France,"[48.006852, -1.823946]"
Vougeot,France,"[47.176617, 4.962975]"
Wrattonbully,Australia,"[-37.1624826, 140.9351108]"
Mâcon-Vergisson,France,"[46.30963, 4.716371]"
Lambrusco di Sorbara,Italy,"[44.7514459, 11.0086629]"
Mâcon-Cruzille,France,"[46.5064494, 4.7978349]"
Moon Mountain District Sonoma County,US,"[38.3408187, -122.4731735]"
Collines Rhôdaniennes,France,
Loazzolo,Italy,"[44.6688073, 8.258573799999999]"
Humboldt County,US,"[40.7450055, -123.8695086]"
Clairette de Die Méthode Dioise Ancestrale,France,"[44.7601577, 5.357141299999999]"
Jurançon Sec,France,"[43.310567, -0.482417]"
Curtefranca,Italy,
Monteregio di Massa Marittima,Italy,"[43.0532504, 10.8880322]"
Napa-Sonoma-Marin,US,"[38.461287, -122.219635]"
Maury,France,"[38.8921729, -76.98866679999999]"
Muscat de Rivesaltes,France,
Montecucco,Italy,"[43.3650522, 12.74367]"
Vin de Table Francais,France,"[40.6920591, -73.9429129]"
Santa Clara County,US,"[37.3336581, -121.8907041]"
Atlantique,France,"[6.6588391, 2.2236667]"
Muscadet,France,"[45.4226585, -0.2853445]"
Sierra de Salamanca,Spain,"[29.0942396, -110.9263624]"
Chignin-Bergeron,France,"[45.528187, 6.002312]"
Beaujolais Blanc,France,"[46.0412957, 4.635594]"
Mâcon La Roche Vineuse,France,"[46.34679200000001, 4.719113]"
Côtes du Roussillon Les Aspres,France,"[48.68974799999999, 0.599399]"
Côtes du Roussillon,France,"[45.4983375, -73.6272106]"
Beaujolais-Leynes,France,"[46.2677996, 4.729654399999999]"
Côtes de Duras,France,"[44.683659, 0.200972]"
Fitou,France,"[42.893306, 2.978041]"
Puget Sound,US,"[47.7236535, -122.4713352]"
Chambertin Clos de Bèze,France,"[47.465224, 5.275158999999999]"
Corton-Rognet,France,
Corton Vergennes,France,"[47.073505, 4.875509]"
Chapelle-Chambertin,France,"[47.18759379999999, 4.9447879]"
Dogliani,Italy,"[44.5319723, 7.949748199999999]"
Anjou Villages,France,"[34.1559249, -118.7925106]"
Cadillac,France,"[36.1058481, -95.8857214]"
Sable de Camargue,France,"[43.4514254, 4.4271983]"
Pago de Arínzano,Spain,"[42.630641, -1.993364]"
Beneventano,Italy,
Monti Lessini,Italy,"[45.6942253, 10.9755236]"
McLaren Vale-Adelaide Hills,Australia,"[-35.2462077, 138.55089]"
Colli Piacentini,Italy,"[44.8263112, 9.529144700000002]"
Martina,Italy,"[44.9242266, -93.3152065]"
Lacryma Christi del Vesuvio,Italy,"[37.6675865, -77.57112099999999]"
Côtes Catalanes,France,"[37.2030881, -7.3276962]"
Vin de Pays Cité de Carcassonne,France,"[43.2060816, 2.3641961]"
Solano County Green Valley,US,"[38.2529705, -122.1621917]"
Friuli Isonzo,Italy,"[46.0657211, 13.6016763]"
Penisola Sorrentina,Italy,"[40.6569836, 14.5422225]"
California-Oregon,US,"[39.59388999999999, -121.52833]"
Clear Lake,US,"[39.05819049999999, -122.831015]"
Guenoc Valley,US,"[38.7359634, -122.5283555]"
Terre del Volturno,Italy,"[39.9651389, 18.089599]"
Coteaux d'Ancenis,France,"[47.4580871, -1.1763526]"
Cabernet de Saumur,France,"[47.260135, -0.08089299999999999]"
Utiel-Requena,Spain,"[39.5694342, -1.203722]"
Soave Colli Scaligeri,Italy,"[45.4116091, 11.2326652]"
Napa County-Sonoma County-San Joaquin County,US,"[38.5024689, -122.2653887]"
Bourgogne Gamay,France,
Terre di Franciacorta,Italy,
Falanghina del Sannio,Italy,
Rosso di Toscana,Italy,"[42.9342557, 10.5079715]"
Côtes de Castillon,France,"[44.8533003, -0.0436106]"
Carneros-Napa Valley,US,"[38.2554723, -122.3349422]"
Lenswood,Australia,"[-34.9172455, 138.8315666]"
Côte de Beaune,France,"[47.01346580000001, 4.815776100000001]"
Rosé d'Anjou,France,"[45.60033910000001, -73.5649347]"
St. David's Bench,Canada,"[43.16364, -79.0997125]"
Coteaux du Vendômois,France,"[47.6584551, 1.2631801]"
Valpolicella Ripasso Classico,Italy,
Chianti Colli Fiorentini,Italy,"[43.77931359999999, 11.2406457]"
Swan Creek,US,"[42.1886861, -83.5530849]"
Tierra de León,Spain,"[27.6830287, -82.727201]"
Mudgee,Australia,"[-32.6144566, 149.5733291]"
Orange,Australia,"[33.7174708, -117.8311428]"
New South Wales,Australia,"[-31.2532183, 146.921099]"
Rosso Piceno Superiore,Italy,"[42.8536043, 13.5749442]"
Offida Passerina,Italy,"[42.9294924, 13.7001208]"
Recioto di Soave Classico,Italy,
Montlouis-sur-Loire,France,"[47.38826400000001, 0.827383]"
Vin de Pays du Lot,France,"[44.5379358, 1.6760691]"
Venezie,Italy,"[45.4408474, 12.3155151]"
Riviera Ligure di Ponente,Italy,"[44.1981621, 8.3403203]"
Tulum Valley,Argentina,"[31.837177, -110.9925277]"
Pompeiano,Italy,"[43.8565049, 7.8854795]"
Epomeo,Italy,"[40.73023269999999, 13.8942535]"
Roccamonfina,Italy,"[41.2928103, 13.9851231]"
Marcillac,France,"[44.474899, 2.462587]"
Tierra de Castilla,Spain,"[32.579779, -115.492162]"
El Pomar District,US,"[35.5496335, -120.6100622]"
Galluccio,Italy,"[41.3348677, 13.9492051]"
Bourgogne Epineuil,France,"[47.874593, 3.980885]"
Colli di Salerno,Italy,"[40.6794227, 14.8641034]"
Tuolumne County,US,"[38.029655, -119.9740534]"
Côtes-du-Ventoux,France,"[44.1160541, 5.1771508]"
Tarantino,Italy,"[38.983899, -94.61334199999999]"
Santa Margarita Ranch,US,"[35.39798440000001, -120.613122]"
Brachetto d'Acqui,Italy,"[44.67638460000001, 8.4670285]"
Saint-Mont,France,"[43.650444, -0.147616]"
Crémant de Bordeaux,France,"[44.9359477, -0.1369457]"
Mâcon-Lugny,France,"[46.471672, 4.80982]"
Dolcetto di Monferrato,Italy,"[44.8175587, 8.7046627]"
Malibu Coast,US,"[34.0259216, -118.7797571]"
Rully,France,
Pavia,Italy,"[45.1847248, 9.1582069]"
Asti,Italy,
Carmignano,Italy,"[43.8007472, 11.0146187]"
Bullas,Spain,"[38.0433449, -1.6736397]"
Bonnes-Mares,France,
McDowell Valley,US,
Rasteau,France,"[44.231277, 4.986897]"
Cilento,Italy,"[40.6678786, -74.4821841]"
